#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04668	TNF signaling pathway	6	108	1.92	5.55e-09	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,MLKL,MAP2K7
hsa04210	Apoptosis	4	135	1.65	8.11e-05	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	KRAS,DAB2IP,RIPK1,FADD
hsa04217	Necroptosis	4	155	1.59	9.24e-05	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351	RIPK3,RIPK1,FADD,MLKL
hsa04622	RIG-I-like receptor signaling pathway	3	70	1.81	0.00034	9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	RIPK1,FADD,MAP3K1
hsa04912	GnRH signaling pathway	3	88	1.71	0.00053	9606.ENSP00000256078,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,MAP2K7,MAP3K1
hsa04620	Toll-like receptor signaling pathway	3	102	1.65	0.00067	9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070	RIPK1,FADD,MAP2K7
hsa04722	Neurotrophin signaling pathway	3	116	1.59	0.00084	9606.ENSP00000256078,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,MAP2K7,MAP3K1
hsa05161	Hepatitis B	3	142	1.5	0.0013	9606.ENSP00000256078,9606.ENSP00000301838,9606.ENSP00000382423	KRAS,FADD,MAP3K1
hsa04621	NOD-like receptor signaling pathway	3	166	1.43	0.0018	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,RIPK1,FADD
hsa05167	Kaposi's sarcoma-associated herpesvirus infection	3	183	1.39	0.0022	9606.ENSP00000256078,9606.ENSP00000301838,9606.ENSP00000381070	KRAS,FADD,MAP2K7
hsa04010	MAPK signaling pathway	3	293	1.19	0.0071	9606.ENSP00000256078,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,MAP2K7,MAP3K1
hsa04623	Cytosolic DNA-sensing pathway	2	62	1.69	0.0071	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
hsa04664	Fc epsilon RI signaling pathway	2	67	1.65	0.0071	9606.ENSP00000256078,9606.ENSP00000381070	KRAS,MAP2K7
hsa04012	ErbB signaling pathway	2	83	1.56	0.0099	9606.ENSP00000256078,9606.ENSP00000381070	KRAS,MAP2K7
hsa04660	T cell receptor signaling pathway	2	99	1.48	0.0129	9606.ENSP00000256078,9606.ENSP00000381070	KRAS,MAP2K7
hsa04120	Ubiquitin mediated proteolysis	2	134	1.35	0.0205	9606.ENSP00000354621,9606.ENSP00000382423	SMURF1,MAP3K1
hsa04926	Relaxin signaling pathway	2	130	1.36	0.0205	9606.ENSP00000256078,9606.ENSP00000381070	KRAS,MAP2K7
hsa05160	Hepatitis C	2	131	1.36	0.0205	9606.ENSP00000256078,9606.ENSP00000259808	KRAS,RIPK1
hsa04218	Cellular senescence	2	156	1.29	0.0246	9606.ENSP00000256078,9606.ENSP00000304226	KRAS,HIPK3
hsa04530	Tight junction	2	167	1.26	0.0266	9606.ENSP00000381070,9606.ENSP00000382423	MAP2K7,MAP3K1
hsa05169	Epstein-Barr virus infection	2	194	1.19	0.0338	9606.ENSP00000259808,9606.ENSP00000381070	RIPK1,MAP2K7
