#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0070266	necroptotic process	4	20	2.48	1.24e-06	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351	RIPK3,RIPK1,FADD,MLKL
GO:0045859	regulation of protein kinase activity	8	788	1.18	1.95e-06	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:0032270	positive regulation of cellular protein metabolic process	9	1496	0.96	6.21e-06	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,SMURF1,MAP2K7,MAP3K1
GO:0043405	regulation of MAP kinase activity	6	337	1.43	6.21e-06	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:0043408	regulation of MAPK cascade	7	712	1.17	1.25e-05	9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DUSP26,DAB2IP,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:0060544	regulation of necroptotic process	3	14	2.51	1.42e-05	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,RIPK1,FADD
GO:0032268	regulation of cellular protein metabolic process	10	2486	0.78	1.59e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,SMURF1,MAP2K7,MAP3K1
GO:1902531	regulation of intracellular signal transduction	9	1764	0.89	1.59e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,MAP2K7,MAP3K1
GO:0043506	regulation of JUN kinase activity	4	86	1.85	1.94e-05	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070	DAB2IP,RIPK1,HIPK3,MAP2K7
GO:0043406	positive regulation of MAP kinase activity	5	264	1.45	2.89e-05	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0045860	positive regulation of protein kinase activity	6	517	1.24	2.89e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0006468	protein phosphorylation	7	923	1.06	3.26e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:1902533	positive regulation of intracellular signal transduction	7	959	1.04	3.86e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MAP2K7,MAP3K1
GO:0042981	regulation of apoptotic process	8	1501	0.9	4.29e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,FADD,HIPK3,MAP2K7,MAP3K1
GO:0051173	positive regulation of nitrogen compound metabolic process	10	2946	0.71	4.29e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0035556	intracellular signal transduction	8	1528	0.9	4.41e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000308351,9606.ENSP00000328364,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,MLKL,MAFA,MAP2K7,MAP3K1
GO:0000165	MAPK cascade	5	323	1.37	4.95e-05	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0007257	activation of JUN kinase activity	3	38	2.07	4.95e-05	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070	DAB2IP,RIPK1,MAP2K7
GO:0009966	regulation of signal transduction	10	3033	0.7	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,SMURF1,MAP2K7,MAP3K1
GO:0010604	positive regulation of macromolecule metabolic process	10	3081	0.69	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0012501	programmed cell death	7	1042	1.0	4.95e-05	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000381070	RIPK3,DAB2IP,RIPK1,FADD,HIPK3,MLKL,MAP2K7
GO:0019219	regulation of nucleobase-containing compound metabolic process	11	4133	0.6	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000304226,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,HIPK3,ZHX2,MAFA,SMURF1,MAP2K7
GO:0031098	stress-activated protein kinase signaling cascade	4	138	1.64	4.95e-05	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0031325	positive regulation of cellular metabolic process	10	3060	0.69	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0032147	activation of protein kinase activity	5	347	1.34	4.95e-05	9606.ENSP00000216274,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,DAB2IP,RIPK1,MAP2K7,MAP3K1
GO:0045088	regulation of innate immune response	5	361	1.32	4.95e-05	9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	KRAS,DAB2IP,RIPK1,FADD,MAP3K1
GO:0045937	positive regulation of phosphate metabolic process	7	1052	1.0	4.95e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,MAP2K7,MAP3K1
