#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-5213460	RIPK1-mediated regulated necrosis	4	19	2.5	2.02e-07	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351	RIPK3,RIPK1,FADD,MLKL
HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	5	126	1.78	1.01e-06	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,RIPK1,FADD,MAP2K7,MAP3K1
HSA-9013957	TLR3-mediated TICAM1-dependent programmed cell death	3	6	2.88	1.01e-06	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,RIPK1,FADD
HSA-2562578	TRIF-mediated programmed cell death	3	9	2.7	1.65e-06	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838	RIPK3,RIPK1,FADD
HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	4	95	1.8	1.19e-05	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070	RIPK3,RIPK1,FADD,MAP2K7
HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling	4	96	1.8	1.19e-05	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070	RIPK3,RIPK1,FADD,MAP2K7
HSA-3295583	TRP channels	3	28	2.21	2.00e-05	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000308351	RIPK3,RIPK1,MLKL
HSA-2871796	FCERI mediated MAPK activation	3	30	2.18	2.21e-05	9606.ENSP00000256078,9606.ENSP00000381070,9606.ENSP00000382423	KRAS,MAP2K7,MAP3K1
HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	3	76	1.77	0.00027	9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000382423	RIPK1,FADD,MAP3K1
HSA-168249	Innate Immune System	6	1012	0.95	0.00034	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,FADD,MAP2K7,MAP3K1
HSA-3371378	Regulation by c-FLIP	2	10	2.48	0.00035	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
HSA-5218900	CASP8 activity is inhibited	2	10	2.48	0.00035	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
HSA-69416	Dimerization of procaspase-8	2	10	2.48	0.00035	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
HSA-933543	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	2	12	2.4	0.00040	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
HSA-5357786	TNFR1-induced proapoptotic signaling	2	13	2.36	0.00044	9606.ENSP00000259808,9606.ENSP00000301838	RIPK1,FADD
HSA-1810476	RIP-mediated NFkB activation via ZBP1	2	17	2.25	0.00062	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
HSA-168927	TICAM1, RIP1-mediated IKK complex recruitment	2	18	2.22	0.00063	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
HSA-168256	Immune System	7	1925	0.74	0.00068	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,FADD,SMURF1,MAP2K7,MAP3K1
HSA-937041	IKK complex recruitment mediated by RIP1	2	21	2.16	0.00075	9606.ENSP00000216274,9606.ENSP00000259808	RIPK3,RIPK1
HSA-6802949	Signaling by RAS mutants	2	52	1.76	0.0035	9606.ENSP00000256078,9606.ENSP00000259371	KRAS,DAB2IP
HSA-5658442	Regulation of RAS by GAPs	2	65	1.67	0.0051	9606.ENSP00000256078,9606.ENSP00000259371	KRAS,DAB2IP
HSA-975871	MyD88 cascade initiated on plasma membrane	2	84	1.55	0.0079	9606.ENSP00000381070,9606.ENSP00000382423	MAP2K7,MAP3K1
HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	2	94	1.51	0.0085	9606.ENSP00000381070,9606.ENSP00000382423	MAP2K7,MAP3K1
HSA-8878159	Transcriptional regulation by RUNX3	2	91	1.52	0.0085	9606.ENSP00000256078,9606.ENSP00000354621	KRAS,SMURF1
HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	2	91	1.52	0.0085	9606.ENSP00000381070,9606.ENSP00000382423	MAP2K7,MAP3K1
