#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0000228	nuclear chromosome	8	514	1.18	3.49e-06	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000371475	SIRT1,RPA1,TP53,CCAR2,SP1,HIST1H1C,CTNNB1,TP53BP1
GO:0005694	chromosome	9	950	0.97	1.22e-05	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000371475,9606.ENSP00000406037	SIRT1,RPA1,TP53,CCAR2,SP1,HIST1H1C,CTNNB1,TP53BP1,KAT8
GO:0031981	nuclear lumen	15	4030	0.56	1.40e-05	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371475,9606.ENSP00000406037	SIRT1,RPA1,MDM2,TP53,CCAR2,STK17A,HEXIM1,SP1,HEY1,HIST1H1C,CTNNB1,MDM4,TP53RK,TP53BP1,KAT8
GO:0005654	nucleoplasm	14	3446	0.6	1.42e-05	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371475,9606.ENSP00000406037	SIRT1,RPA1,MDM2,TP53,CCAR2,STK17A,HEXIM1,SP1,HEY1,CTNNB1,MDM4,TP53RK,TP53BP1,KAT8
GO:0000790	nuclear chromatin	6	333	1.25	2.47e-05	9606.ENSP00000212015,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000344456	SIRT1,TP53,CCAR2,SP1,HIST1H1C,CTNNB1
GO:0005719	nuclear euchromatin	3	24	2.09	6.64e-05	9606.ENSP00000212015,9606.ENSP00000339566,9606.ENSP00000344456	SIRT1,HIST1H1C,CTNNB1
GO:0005634	nucleus	17	6892	0.38	0.00013	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000319192,9606.ENSP00000328773,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371475,9606.ENSP00000406037,9606.ENSP00000425133,9606.ENSP00000465757	SIRT1,RPA1,MDM2,TP53,CCAR2,STK17A,HEXIM1,SP1,HEY1,HIST1H1C,CTNNB1,MDM4,TP53RK,TP53BP1,KAT8,SMG7,CCDC106
GO:0005657	replication fork	3	53	1.74	0.00027	9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000371475	RPA1,TP53,TP53BP1
GO:0032991	protein-containing complex	14	4792	0.46	0.00027	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000263212,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000344456,9606.ENSP00000361186,9606.ENSP00000371267,9606.ENSP00000371475,9606.ENSP00000406037,9606.ENSP00000425133	SIRT1,RPA1,MDM2,PPM1F,TP53,CCAR2,SP1,HIST1H1C,CTNNB1,TP53RK,YWHAQ,TP53BP1,KAT8,SMG7
GO:0032993	protein-DNA complex	4	188	1.32	0.00039	9606.ENSP00000254719,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000344456	RPA1,SP1,HIST1H1C,CTNNB1
