#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0002039	p53 binding	5	73	1.83	2.49e-06	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000361186,9606.ENSP00000371475	SIRT1,MDM2,TP53,TP53RK,TP53BP1
GO:0008134	transcription factor binding	7	610	1.05	0.00015	9606.ENSP00000212015,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456,9606.ENSP00000371475,9606.ENSP00000406037	SIRT1,TP53,SP1,HEY1,CTNNB1,TP53BP1,KAT8
GO:0001085	RNA polymerase II transcription factor binding	4	121	1.51	0.00041	9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000344456,9606.ENSP00000371475	TP53,SP1,CTNNB1,TP53BP1
GO:0042162	telomeric DNA binding	3	36	1.91	0.00041	9606.ENSP00000254719,9606.ENSP00000371475,9606.ENSP00000425133	RPA1,TP53BP1,SMG7
GO:0097718	disordered domain specific binding	3	33	1.95	0.00041	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000344456	MDM2,TP53,CTNNB1
GO:0003684	damaged DNA binding	3	64	1.66	0.0013	9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000371475	RPA1,TP53,TP53BP1
GO:0019904	protein domain specific binding	6	706	0.92	0.0015	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000344456,9606.ENSP00000371267	SIRT1,MDM2,TP53,SP1,CTNNB1,YWHAQ
GO:0043565	sequence-specific DNA binding	7	1047	0.82	0.0015	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000371475,9606.ENSP00000425133	SIRT1,RPA1,TP53,SP1,HEY1,TP53BP1,SMG7
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	4	257	1.18	0.0027	9606.ENSP00000212015,9606.ENSP00000329357,9606.ENSP00000344456,9606.ENSP00000371475	SIRT1,SP1,CTNNB1,TP53BP1
GO:0019899	enzyme binding	9	2197	0.6	0.0029	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000406037,9606.ENSP00000425133	SIRT1,MDM2,TP53,CCAR2,SP1,CTNNB1,MDM4,KAT8,SMG7
