#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa05206	MicroRNAs in cancer	4	149	1.42	0.0012	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	SIRT1,MDM2,TP53,MDM4
hsa05224	Breast cancer	4	147	1.43	0.0012	9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456	TP53,SP1,HEY1,CTNNB1
hsa04115	p53 signaling pathway	3	68	1.64	0.0013	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
hsa01522	Endocrine resistance	3	95	1.49	0.0025	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357	MDM2,TP53,SP1
hsa04919	Thyroid hormone signaling pathway	3	115	1.41	0.0025	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000344456	MDM2,TP53,CTNNB1
hsa05200	Pathways in cancer	5	515	0.98	0.0025	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456	MDM2,TP53,SP1,HEY1,CTNNB1
hsa05215	Prostate cancer	3	97	1.48	0.0025	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000344456	MDM2,TP53,CTNNB1
hsa04110	Cell cycle	3	123	1.38	0.0026	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371267	MDM2,TP53,YWHAQ
hsa05165	Human papillomavirus infection	4	317	1.09	0.0026	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000338272,9606.ENSP00000344456	MDM2,TP53,HEY1,CTNNB1
hsa04218	Cellular senescence	3	156	1.27	0.0042	9606.ENSP00000212015,9606.ENSP00000258149,9606.ENSP00000269305	SIRT1,MDM2,TP53
hsa05202	Transcriptional misregulation in cancer	3	169	1.24	0.0048	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357	MDM2,TP53,SP1
hsa05216	Thyroid cancer	2	37	1.72	0.0048	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa05203	Viral carcinogenesis	3	183	1.21	0.0051	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371267	MDM2,TP53,YWHAQ
hsa05219	Bladder cancer	2	41	1.68	0.0051	9606.ENSP00000258149,9606.ENSP00000269305	MDM2,TP53
hsa05169	Epstein-Barr virus infection	3	194	1.18	0.0052	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371267	MDM2,TP53,YWHAQ
hsa05205	Proteoglycans in cancer	3	195	1.18	0.0052	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000344456	MDM2,TP53,CTNNB1
hsa05130	Pathogenic Escherichia coli infection	2	53	1.57	0.0065	9606.ENSP00000344456,9606.ENSP00000371267	CTNNB1,YWHAQ
hsa05213	Endometrial cancer	2	58	1.53	0.0072	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa04137	Mitophagy - animal	2	63	1.49	0.0080	9606.ENSP00000269305,9606.ENSP00000329357	TP53,SP1
hsa05217	Basal cell carcinoma	2	63	1.49	0.0080	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa05214	Glioma	2	68	1.46	0.0084	9606.ENSP00000258149,9606.ENSP00000269305	MDM2,TP53
hsa01524	Platinum drug resistance	2	70	1.45	0.0085	9606.ENSP00000258149,9606.ENSP00000269305	MDM2,TP53
hsa05218	Melanoma	2	72	1.43	0.0086	9606.ENSP00000258149,9606.ENSP00000269305	MDM2,TP53
hsa05220	Chronic myeloid leukemia	2	76	1.41	0.0091	9606.ENSP00000258149,9606.ENSP00000269305	MDM2,TP53
hsa05210	Colorectal cancer	2	85	1.36	0.0108	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa04211	Longevity regulating pathway	2	88	1.35	0.0111	9606.ENSP00000212015,9606.ENSP00000269305	SIRT1,TP53
hsa04151	PI3K-Akt signaling pathway	3	348	0.93	0.0148	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371267	MDM2,TP53,YWHAQ
hsa04068	FoxO signaling pathway	2	130	1.18	0.0218	9606.ENSP00000212015,9606.ENSP00000258149	SIRT1,MDM2
hsa05418	Fluid shear stress and atherosclerosis	2	133	1.17	0.0219	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa04310	Wnt signaling pathway	2	143	1.14	0.0240	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa05161	Hepatitis B	2	142	1.14	0.0240	9606.ENSP00000269305,9606.ENSP00000371267	TP53,YWHAQ
hsa05226	Gastric cancer	2	147	1.12	0.0240	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa04390	Hippo signaling pathway	2	152	1.11	0.0248	9606.ENSP00000344456,9606.ENSP00000371267	CTNNB1,YWHAQ
hsa04934	Cushing's syndrome	2	153	1.11	0.0248	9606.ENSP00000329357,9606.ENSP00000344456	SP1,CTNNB1
hsa05225	Hepatocellular carcinoma	2	163	1.08	0.0267	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa05167	Kaposi's sarcoma-associated herpesvirus infection	2	183	1.03	0.0322	9606.ENSP00000269305,9606.ENSP00000344456	TP53,CTNNB1
hsa05016	Huntington's disease	2	193	1.01	0.0347	9606.ENSP00000269305,9606.ENSP00000329357	TP53,SP1
