#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-2262752	Cellular responses to stress	8	384	1.31	6.10e-07	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000310670,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000356150	SIRT1,RPA1,MDM2,TP53,CCAR2,SP1,HIST1H1C,MDM4
HSA-2559585	Oncogene Induced Senescence	4	33	2.07	3.26e-06	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000356150	MDM2,TP53,SP1,MDM4
HSA-6804756	Regulation of TP53 Activity through Phosphorylation	5	92	1.73	3.26e-06	9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150,9606.ENSP00000361186	RPA1,MDM2,TP53,MDM4,TP53RK
HSA-69620	Cell Cycle Checkpoints	6	265	1.35	1.09e-05	9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150,9606.ENSP00000371267,9606.ENSP00000371475	RPA1,MDM2,TP53,MDM4,YWHAQ,TP53BP1
HSA-74160	Gene expression (Transcription)	10	1366	0.86	1.13e-05	9606.ENSP00000212015,9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371267	SIRT1,RPA1,MDM2,TP53,SP1,HEY1,CTNNB1,MDM4,TP53RK,YWHAQ
HSA-212436	Generic Transcription Pathway	9	1112	0.9	1.93e-05	9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000338272,9606.ENSP00000344456,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371267	RPA1,MDM2,TP53,SP1,HEY1,CTNNB1,MDM4,TP53RK,YWHAQ
HSA-2559583	Cellular Senescence	5	161	1.48	1.93e-05	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000329357,9606.ENSP00000339566,9606.ENSP00000356150	MDM2,TP53,SP1,HIST1H1C,MDM4
HSA-3232118	SUMOylation of transcription factors	3	16	2.26	2.17e-05	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000371475	MDM2,TP53,TP53BP1
HSA-3700989	Transcriptional Regulation by TP53	6	359	1.21	2.83e-05	9606.ENSP00000254719,9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150,9606.ENSP00000361186,9606.ENSP00000371267	RPA1,MDM2,TP53,MDM4,TP53RK,YWHAQ
HSA-6804760	Regulation of TP53 Activity through Methylation	3	19	2.19	2.83e-05	9606.ENSP00000258149,9606.ENSP00000269305,9606.ENSP00000356150	MDM2,TP53,MDM4
