kinases,substrates,count
Q9UEE5,"['P04637', 'P35222', 'P08047', 'Q00987', 'O15151', 'Q12888', 'Q96S44', 'P27348', 'Q96EB6', 'P16403', 'P49593', 'Q9UHC7', 'Q9H7Z6', 'O94992', 'Q8N163', 'Q9Y5J3', 'Q92540', 'PR:000003109', 'Q9BWC9', 'P27694', 'Q96S44']",21
Q9H422,"['O14733', 'Q8NHW3', 'Q8NB16', 'Q9Y572', 'Q13158', 'Q13546', 'Q13233', 'P01116', 'Q5VWQ8', 'Q9HCE7', 'Q9Y6X8', 'Q9BV47']",12
Q5TCX8,"['Q02750', 'P60484', 'Q13322', 'O00329', 'P32121', 'P37231', 'Q6VAB6', 'Q86UL8']",8
Q7Z2Y5,"['P53667', 'P23528', 'Q15569', 'Q96S53', 'Q9Y281', 'Q9Y2I1', 'Q15569', 'Q96S53']",8
Q8IV63,"['Q86Y07', 'O75531', 'P50402', 'Q86Y07']",4
Q13523,"['P19419', 'Q9UL54', 'Q9UL54']",3
Q6SA08,"['Q96NX5', 'P16220', 'Q96NX5']",3
Q8N165,"['P01375', 'P19438']",2
O14874,['P12694'],1
Q15131,['P15036'],1
Q9HAZ1,['P00519'],1
O14730,['Q9BYX4'],1
P49761,[],0
Q6P0Q8,[],0
Q9BVS4,[],0
