substrate,kinases
Q86TW2,
Q7Z695,
Q3MIX3,
Q86TB3,
Q96L96,
O14874,"Q16695,P48681,PR:000044508"
Q8TDC3,"PR:000036517,Q8NEV4"
Q8IWQ3,
Q8IU85,
Q96NX5,
Q8N5S9,
Q96RR4,
Q8NCB2,
Q5VT25,
Q9Y5S2,
Q6DT37,
Q15131,
Q9UQ88,
P21127,
Q9NYV4,
Q14004,
O94921,Q13239
Q96Q40,
Q00536,
Q00537,Q03252
Q07002,
Q9BWU1,
Q8IZL9,
Q00532,
Q92772,
Q8IVW4,
Q5MAI5,
O76039,
P49761,
Q9HAZ1,
Q8NI60,
Q96D53,
Q8N752,PR:Q96QF0-2
Q9HCP0,
P78368,
Q9Y6M4,
P19784,
Q8NEV1,
Q9C098,
Q6XUX3,
Q9Y463,
Q92630,
O43781,
Q9NR20,
O00418,
Q76MJ5,
Q86Z02,
Q9H422,
Q8NE63,
Q9UPZ9,
Q8IWU2,
Q96Q04,
Q38SD2,
P29376,
Q02779,
Q99558,
Q6ZN16,
Q5TCX8,
Q8TD08,
P31152,
Q9P0L2,
P27448,PR:Q8NFJ9
Q96L34,
Q6P0Q8,
O60307,
O15021,
Q9BUB5,PR:P0DPB3-1
Q9HBH9,
Q96PY6,
Q6ZWH5,
Q8NG66,
P51956,
P51957,
Q6P3R8,
Q9HC98,PR:P0DPB3-1
Q8TDX7,
Q86SG6,"P55042,P23409"
Q8TD19,
Q8IY84,Q96BY7
Q9NSY0,
Q7Z2Y5,
Q9H093,
Q5VST9,
O75914,
Q9P286,
Q9NQU5,
Q58A45,
Q8N165,PR:000028561
Q16816,
P15735,
P42356,
O00750,
O75747,
Q8TBX8,
Q99755,
O14986,
O60331,
Q99640,
Q6P5Z2,
Q6P2M8,
Q9H5K3,
Q86YV5,
P22694,
P22612,
Q04759,
Q13523,
P11801,
Q96QS6,
Q7Z7A4,
Q9BRS2,
Q9BVS4,
O14730,"Q13509,Q02447,O00139,P78356"
Q05823,
Q96S38,
Q9Y6S9,
Q52WX2,
P0C263,
P0C264,
Q96KG9,
Q6P3W7,
Q8IZE3,
Q96LW2,
Q9UPE1,
Q9UEE5,
O94768,
P49842,
Q13188,
Q9BXU1,
Q8WU08,
Q9NY57,
Q86UX6,
Q9BYT3,
Q9NRP7,
Q9Y2H1,
Q8N2I9,
Q8NE28,
Q7L7X3,
Q9UL54,
Q8TEA7,
Q15569,
Q96S53,
Q9UKI8,
Q86UE8,
Q96S44,
Q9BXA7,
Q96PF2,
Q96PN8,
Q6SA08,
Q9BXA6,
Q5TCY1,
Q6IQ55,
Q96C45,
Q86Y07,
Q8IV63,
P0C1S8,
Q9Y3S1,
Q9BYP7,
