kinase,n_substrates
PR:Q8C669,64
PR:Q99697-2,52
PR:000036649,31
PR:Q99697-3,26
PR:000036517,13
PR:Q99697-1,13
Q13239,12
PR:Q96QF0-2,11
PR:000025639,8
PR:P62993,7
PR:000036294,6
PR:000049999,6
Q9H7Z6,6
PR:P20591,5
PR:Q9HCX4,5
Q8NEV4,5
P41227,5
Q15437,5
PR:P0DPB3-1,4
PR:000036589,4
P12694,4
Q86SG6,3
P11413,3
Q03252,3
PR:Q9HBA0-5,3
PR:P55884,3
PR:Q9YGY0,3
Q9BUL8,3
Q9H981,2
Q13562,2
Q04724,2
Q9Y4R8,2
Q9NSC5,2
PR:P29590-4,2
Q8IZD2,2
Q13618,2
Q92597,2
PR:000026189,2
PR:000036421,2
PR:Q8NFJ9,2
Q15365,2
PR:000044474,2
Q16695,2
Q8WVI7,2
O96004,2
Q13393,2
P12980,2
Q9ULG1,2
O15294,2
P42768,2
K9JYP4,2
P31994,2
O14713,2
Q9BSQ5,2
PR:000025712,2
PR:P19256,2
PR:000037508,2
PR:Q9UNH7,2
O75460,2
Q8N9N5,2
Q8IU85,2
PR:P20749,2
Q01959,2
P29322,2
Q04912,2
PR:000025633,2
Q5VWQ8,2
Q92945,2
P05387,2
Q9NP87,1
P12036,1
Q14432,1
O14638,1
Q9Y5B0,1
PR:000044508,1
Q07617,1
P55040,1
Q96LL9,1
Q9NVP2,1
Q5BJF6,1
Q14005,1
P05106,1
O75716,1
PR:000049849,1
Q13085,1
Q9UP95,1
P42338,1
Q14244,1
Q8NG66,1
PR:P62260,1
O75581,1
PR:O15350-1,1
Q14654,1
Q7Z6J0,1
PR:P00519,1
P60983,1
P09601,1
P52566,1
P11912,1
Q5TA31,1
Q00613,1
P30622,1
Q9H8G2,1
Q9UPN9,1
P16885,1
P36871,1
Q5JTH9,1
PR:000025962,1
Q99558,1
O60341,1
P05783,1
Q9BQG0,1
P16615,1
O00267,1
P35462,1
Q15046,1
Q96L34,1
Q00839,1
P33151,1
Q9NY61,1
Q92688,1
P49418,1
P50895,1
O95983,1
P19544,1
PR:000028600,1
Q6P996,1
Q13509,1
O00303,1
PR:000025938,1
PR:000026140,1
Q08493,1
Q5TKA1,1
P10415,1
Q9Y2N7,1
Q9H2B2,1
P28329,1
