kinase,n_substrates_original,n_substrates_predicted
PR:Q8C669,1,64
PR:Q99697-2,3,52
PR:000036649,0,31
PR:Q99697-3,3,26
PR:000036517,1,13
PR:Q99697-1,1,13
Q13239,0,12
PR:Q96QF0-2,0,11
PR:000025639,0,8
PR:P62993,1,7
PR:000036294,0,6
PR:000049999,1,6
Q9H7Z6,1,6
PR:P20591,1,5
PR:Q9HCX4,0,5
Q8NEV4,1,5
P41227,1,5
Q15437,0,5
PR:P0DPB3-1,1,4
PR:000036589,1,4
P12694,0,4
Q86SG6,1,3
P11413,0,3
Q03252,0,3
PR:Q9HBA0-5,1,3
PR:P55884,1,3
PR:Q9YGY0,2,3
Q9BUL8,0,3
Q9H981,0,2
Q13562,0,2
Q04724,0,2
Q9Y4R8,0,2
Q9NSC5,0,2
PR:P29590-4,0,2
Q8IZD2,0,2
Q13618,2,2
Q92597,0,2
PR:000026189,2,2
PR:000036421,0,2
PR:Q8NFJ9,2,2
Q15365,0,2
PR:000044474,0,2
Q16695,0,2
Q8WVI7,0,2
O96004,0,2
Q13393,0,2
P12980,0,2
Q9ULG1,1,2
O15294,0,2
P42768,0,2
K9JYP4,1,2
P31994,0,2
O14713,0,2
Q9BSQ5,0,2
PR:000025712,0,2
PR:P19256,1,2
PR:000037508,0,2
PR:Q9UNH7,1,2
O75460,1,2
Q8N9N5,0,2
Q8IU85,0,2
PR:P20749,1,2
Q01959,1,2
P29322,1,2
Q04912,2,2
PR:000025633,0,2
Q5VWQ8,1,2
Q92945,0,2
P05387,0,2
Q9NP87,0,1
P12036,0,1
Q14432,0,1
O14638,1,1
Q9Y5B0,0,1
PR:000044508,0,1
Q07617,0,1
P55040,0,1
Q96LL9,0,1
Q9NVP2,0,1
Q5BJF6,0,1
Q14005,0,1
P05106,1,1
O75716,2,1
PR:000049849,0,1
Q13085,0,1
Q9UP95,0,1
P42338,1,1
Q14244,0,1
Q8NG66,2,1
PR:P62260,1,1
O75581,0,1
PR:O15350-1,1,1
Q14654,0,1
Q7Z6J0,0,1
PR:P00519,4,1
P60983,0,1
P09601,0,1
P52566,0,1
P11912,0,1
Q5TA31,1,1
Q00613,0,1
P30622,0,1
Q9H8G2,0,1
Q9UPN9,1,1
P16885,0,1
P36871,0,1
Q5JTH9,0,1
PR:000025962,2,1
Q99558,5,1
O60341,0,1
P05783,0,1
Q9BQG0,0,1
P16615,0,1
O00267,0,1
P35462,0,1
Q15046,0,1
Q96L34,1,1
Q00839,0,1
P33151,1,1
Q9NY61,0,1
Q92688,0,1
P49418,0,1
P50895,0,1
O95983,0,1
P19544,0,1
PR:000028600,0,1
Q6P996,0,1
Q13509,0,1
O00303,0,1
PR:000025938,0,1
PR:000026140,0,1
Q08493,0,1
Q5TKA1,0,1
P10415,4,1
Q9Y2N7,0,1
Q9H2B2,0,1
P28329,0,1
PR:P12931,3,1
Q9C029,0,1
P14598,0,1
Q02447,0,1
Q8N3F8,0,1
O00327,0,1
Q8N163,0,1
Q13243,0,1
Q7L7L0,0,1
PR:000028604,0,1
P53999,0,1
P14317,0,1
PR:P29353,1,1
P28562,0,1
P35869,0,1
Q7LG56,0,1
Q8NER5,1,1
Q13813,0,1
Q14814,0,1
PR:000036632,0,1
P46459,0,1
Q14573,2,1
O00139,0,1
Q14738,0,1
P12524,0,1
P51451,5,1
O14874,1,1
PR:000044815,0,1
Q8NER1,0,1
Q9UBF8,0,1
Q6R327,0,1
Q9HAZ1,1,1
O15350,1,1
O00329,3,1
P01106,2,1
PR:P41279-1,1,1
PR:Q15013,1,1
O95786,0,1
P08195,0,1
Q99638,0,1
O14986,0,1
P50549,0,1
P78356,0,1
P0C0S8,0,1
P10636,0,1
Q9BY84,0,1
O94844,0,1
Q9UPT5,0,1
P39687,0,1
P42702,0,1
PR:000036443,0,1
PR:P04489,1,1
PR:000036596,1,1
P10071,0,1
P49792,0,1
Q01668,0,1
Q12959,0,1
O75496,0,1
Q9NQ66,0,1
P12814,0,1
Q9UPP1,0,1
Q9NWH9,0,1
Q96LC9,0,1
PR:Q92560,1,1
O94855,1,1
O75822,0,1
Q8IYT8,1,1
O95471,0,1
PR:Q92793-1,0,1
P26045,0,1
Q99828,0,1
P21860,0,1
Q96NX5,2,1
Q06609,0,1
P53004,2,1
P01116,1,1
Q13370,0,1
PR:000028546,0,1
P22001,0,1
Q99626,0,1
P12235,0,1
Q9Y6X2,1,1
Q9UIG0,1,1
PR:P18075,1,1
P20339,1,1
Q9NR28,0,1
Q8NFC6,0,1
O15269,0,1
PR:000003057,5,1
P41161,0,1
Q07352,0,1
P41146,0,1
Q2M2I8,3,1
Q09470,0,1
Q15653,0,1
O60346,0,1
PR:000036637,0,1
P42568,0,1
O60479,0,1
Q9UQQ2,1,1
PR:P35240-4,0,1
P41145,0,1
Q16623,0,1
P20813,0,1
Q16526,0,1
P10243,0,1
Q9P270,0,1
Q8NG27,1,1
Q9BR01,0,1
P07910,0,1
Q13439,0,1
Q969H0,5,1
P49916,0,1
PR:000025714,1,1
Q16873,0,1
O14744,0,1
Q9NZV8,0,1
P30050,0,1
P48681,0,1
P12956,0,1
Q16288,1,1
P16220,0,1
Q9Y6X8,1,1
Q53ET0,2,1
PR:000044478,0,1
Q96T23,0,1
P30086,0,1
PR:Q9BZD4,2,1
P54296,0,1
P53805,0,1
PR:000036624,1,1
Q9UQD0,0,1
Q6PIY7,0,1
P78536,0,1
Q68EM7,0,1
PR:000028561,0,1
Q7Z5J4,0,1
Q07955,0,1
O60928,0,1
P10244,0,1
PR:P09874,1,1
PR:P20936,1,1
P22736,1,1
Q9NQC3,0,1
PR:000044476,0,1
P33316,0,1
Q99418,0,1
PR:P18031,1,1
P36888,4,1
P30041,0,1
PR:000037510,0,1
Q15181,1,1
O43251,0,1
O15266,0,1
P08183,1,1
O00763,0,1
Q9BYG3,0,1
P21673,0,1
Q9H211,1,1
Q96S94,0,1
P23409,0,1
PR:P49454,1,1
P55042,0,1
P30874,0,1
PR:Q08209,1,1
Q7Z2E3,0,1
Q9BV47,1,1
Q9Y5S8,1,1
Q9UMX6,0,1
Q99062,0,1
P41219,0,1
O95551,0,1
Q9UKT7,1,1
P01350,0,1
Q9NYV4,2,1
P23528,0,1
P50552,0,1
Q96PX8,0,1
P11308,0,1
P15311,1,1
O95707,0,1
P23588,0,1
PR:Q8NEC5-1,0,1
Q96J92,3,1
PR:P02545-1,0,1
PR:000028754,0,1
Q9Y6H6,0,1
Q6P0Q8,0,1
Q96CW1,0,1
P19235,0,1
P54198,0,1
PR:000036635,0,1
O60229,0,1
Q9UJU6,0,1
Q9UQ13,0,1
P47989,0,1
PR:000045369,0,1
PR:000000617,1,1
Q14790,0,1
P41181,0,1
Q02297,0,1
PR:O14965,3,1
P18754,0,1
O60237,0,1
P46109,0,1
Q8N1G1,0,1
PR:000027726,0,1
Q99502,0,1
PR:000028637,0,1
P62258,1,1
P52732,0,1
P02686,0,1
P33176,1,1
P43699,0,1
Q96BY7,0,1
Q96RU2,0,1
Q7L5N1,0,1
Q9ULX3,0,1
P24534,0,1
P35222,2,1
PR:000030192,0,1
Q8TCS8,0,1
Q6ZS17,0,1
