#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005123	death receptor binding	3	18	2.4	4.23e-05	9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838	DAB2IP,RIPK1,FADD
GO:0044877	protein-containing complex binding	7	968	1.04	6.86e-05	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000354621	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MLKL,SMURF1
GO:0042802	identical protein binding	8	1754	0.84	0.00017	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364	RIPK3,KRAS,DAB2IP,RIPK1,FADD,MLKL,ZHX2,MAFA
GO:0004674	protein serine/threonine kinase activity	5	444	1.23	0.00019	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,RIPK1,HIPK3,MAP2K7,MAP3K1
GO:0043168	anion binding	9	2696	0.7	0.00019	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DAB2IP,RIPK1,HIPK3,MLKL,SMURF1,MAP2K7,MAP3K1
GO:0005515	protein binding	12	6607	0.44	0.00040	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000256261,9606.ENSP00000259371,9606.ENSP00000259808,9606.ENSP00000301838,9606.ENSP00000308351,9606.ENSP00000314709,9606.ENSP00000328364,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,DUSP26,DAB2IP,RIPK1,FADD,MLKL,ZHX2,MAFA,SMURF1,MAP2K7,MAP3K1
GO:0035639	purine ribonucleoside triphosphate binding	7	1794	0.77	0.00089	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,HIPK3,MLKL,MAP2K7,MAP3K1
GO:0032555	purine ribonucleotide binding	7	1853	0.75	0.00099	9606.ENSP00000216274,9606.ENSP00000256078,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,KRAS,RIPK1,HIPK3,MLKL,MAP2K7,MAP3K1
GO:0005524	ATP binding	6	1462	0.79	0.0016	9606.ENSP00000216274,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000308351,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,RIPK1,HIPK3,MLKL,MAP2K7,MAP3K1
GO:0140096	catalytic activity, acting on a protein	7	2176	0.68	0.0016	9606.ENSP00000216274,9606.ENSP00000256261,9606.ENSP00000259808,9606.ENSP00000304226,9606.ENSP00000354621,9606.ENSP00000381070,9606.ENSP00000382423	RIPK3,DUSP26,RIPK1,HIPK3,SMURF1,MAP2K7,MAP3K1
